达人昵称,链接,达人认证,达人类目,达人粉丝数,10万以上点赞带货视频个数,5-10万点赞带货视频个数,1-5万点赞带货视频个数
樊学院课堂,http://www.99doushang.com/v/rank/star/detail?uid=108320481757&starName=,,职场,990257,1,0,0
常熟市王孟杰服装商行,http://www.99doushang.com/v/rank/star/detail?uid=100344747322&starName=,,穿搭,3424824,3,2,11
阿纯是打假测评家,http://www.99doushang.com/v/rank/star/detail?uid=1516972701915476&starName=,,种草,1417822,2,1,2
零青子,http://www.99doushang.com/v/rank/star/detail?uid=92440704622&starName=,,穿搭,313081,1,1,6
saysay,http://www.99doushang.com/v/rank/star/detail?uid=71406112897&starName=,,,80991,1,0,0
大连脸脸,http://www.99doushang.com/v/rank/star/detail?uid=99665576303&starName=,,美女,827181,2,4,7
常熟市吉富来鞋业商行,http://www.99doushang.com/v/rank/star/detail?uid=60531681888&starName=,,,12437,1,0,0
爆笑三江锅,http://www.99doushang.com/v/rank/star/detail?uid=62019499885&starName=,,剧情,9211083,1,3,0
范范种草,http://www.99doushang.com/v/rank/star/detail?uid=417404716329741&starName=,,,44670,1,0,2
TJ,http://www.99doushang.com/v/rank/star/detail?uid=79158843120&starName=,,体育,919336,1,1,3
阿派关爱小动物,http://www.99doushang.com/v/rank/star/detail?uid=106637223111&starName=,,,211771,1,0,0
关小微__,http://www.99doushang.com/v/rank/star/detail?uid=105945861511&starName=,,美妆,4360386,1,0,8
阿庹酱,http://www.99doushang.com/v/rank/star/detail?uid=72203087986&starName=,,娱乐,1308749,1,1,0
吃货王摆摆,http://www.99doushang.com/v/rank/star/detail?uid=118360737320046&starName=,,美食,355889,2,2,4
玩车女神,http://www.99doushang.com/v/rank/star/detail?uid=101963577425&starName=,,汽车,16337434,2,1,1
玩家本人(一_一个人),http://www.99doushang.com/v/rank/star/detail?uid=96698670855&starName=,,体育,212053,1,1,0
辣椒炒肉呀,http://www.99doushang.com/v/rank/star/detail?uid=57063720912&starName=,,美女,1287684,1,0,0
狗哥吃火锅,http://www.99doushang.com/v/rank/star/detail?uid=103245549485&starName=,,动漫,1102561,1,2,18
黑白物语,http://www.99doushang.com/v/rank/star/detail?uid=619759962172189&starName=,,情感,253745,2,3,5
禅心,http://www.99doushang.com/v/rank/star/detail?uid=1121103184930343&starName=,,职场,1474770,1,3,3
梦情（国服韩信，全网韩信最高战力保持者）,http://www.99doushang.com/v/rank/star/detail?uid=110625456774&starName=,,游戏,2518660,2,0,1
路怡,http://www.99doushang.com/v/rank/star/detail?uid=57968705815&starName=,人气视频创作者,美女,6234461,2,0,0
西西子的美丽传说,http://www.99doushang.com/v/rank/star/detail?uid=102656931729&starName=,,体育,2738538,3,2,1
鲜奶小妹,http://www.99doushang.com/v/rank/star/detail?uid=52471864095&starName=,抖音vlogger,帅哥,1377248,2,4,1
刘美丽教娃,http://www.99doushang.com/v/rank/star/detail?uid=4366913955969021&starName=,,教育,1211871,2,0,1
窗外,http://www.99doushang.com/v/rank/star/detail?uid=3689584937930936&starName=,,,6748,1,0,0
小薇种草,http://www.99doushang.com/v/rank/star/detail?uid=127198809564395&starName=,,,109178,1,4,9
汪仔饭录像带,http://www.99doushang.com/v/rank/star/detail?uid=109482008881&starName=,,宠物,1391532,1,0,2
傅羊羊,http://www.99doushang.com/v/rank/star/detail?uid=57451550285&starName=,,美女,2853699,3,0,1
